line,average,dupl
37,6,1
54,37,10
93,17.5,18
203,5,208
252,19.5,21
1-B,42.5,218
1-S,69.5,22
10-R,16.5,24
10-S,14,25
107,2,28
10a,13,29
11,44,32
110,1,41
114,26,43
115,32,44
116,29.5,50
117,5,50a
12,41,52
120,124,55
124,1,57
125,0.5,6
126,1,65
134,0.5,66
135,25,7
135a,4.5,72
136,8.5,73
137,17.5,74
138,24,8
139,22,81
14,6,82
140,29,8a
141,28,9
142,23,95
15,55,95a
16,25.5,97
18-D,1.5,98
18-S,16.5,
181,2.5,
19,30.5,
198,9.5,
19a,18.5,
1a,58,
2,20.5,
20,13.5,
201,11,
205,8,
208-R,3,
208-S,15,
21-B,12.5,
21-D,17,
216,0.5,
218-B,21.5,
218-S,22.5,
218a,9.5,
219,19,
219a,4,
21a,5,
22-B,21,
22-D,20.5,
220,19,
221,32.5,
222,18,
226,33,
22a,14,
22c,15,
22x,53.5,
23,5,
23a,1.5,
24-B,6.5,
24-S,44.5,
24a,2,
25-B,3,
25-D,4,
25-S,54.5,
252,19.5,
257,6.5,
25a,1,
26-S,6,
26a-B ,9,
27,20.5,
271,1.5,
272,10.5,
27a,8,
27b,10,
28-R,3.5,
28-B,16.5,
28c,5.5,
29-D,7,
29-R,13,
29-S,7,
29a,6.5,
3,5,
30,25,
30a,5.5,
32-B,37,
32-S,14,
32a,14,
34,7,
350,4,
353,3,
35a,28,
36,10,
37ss,1,
38,8.5,
38a,1,
399,3,
405,19.5,
408,7.5,
409,11.5,
41-D,21,
41-S,18,
41a,13,
43-B,28,
43-S,32,
44-B,23,
44-R,3,
44-S,14.5,
49,4,
5,10,
50-D,21,
50-S,16.5,
50a-D,20.5,
50a-S,12.5,
50b,8,
51-D,13,
51-S,52.5,
51a,12,
52-D,2,
52-S,61,
52a,60.5,
53,6.5,
53a,6.5,
55-D,31,
55-S,7,
56,33,
57-B,26.5,
57-S,20,
57a,42,
57c,31,
57f,25,
58,4,
58a,22,
58c,23,
58f,5.5,
59,20.5,
59a,10.5,
6-B,44,
6-S,19,
61,15,
62,14.5,
64,9,
64a,10,
65-D,7,
65-S,5.5,
65a,1,
66-D,79,
66-B,43.5,
67,13,
67a,14,
67b,1,
67c,1.5,
7-B,9.5,
7-S,32.5,
701,0.5,
72-D,30,
72-R,7,
728,2,
72a,5,
73-D,29,
73-R,30,
73-S,3,
74-R,15.5,
74-S,4,
74a,4,
75,54.5,
76,53,
76a,12.5,
7a,0.5,
8-R,30,
8-S,21.5,
80,14.5,
80a,5.5,
81-D,31,
81-S,30,
82-D,31,
82-S,30,
83,26,
83a,22,
84,19.5,
84a,6.5,
84b,6,
86,5,
86a,6,
87,33.5,
87a,35,
87b,10.5,
88,68,
8a-R,15,
8a-S,8.5,
9-R,42,
9-S,12,
94,6.5,
94a,5,
94b,1,
95-B,40,
95-S,30.5,
95a-B,0.5,
95a-S,28,
96,9.5,
96a,1,
97-B,3.5,
97-S,29.5,
98-D,7.5,
98-S,30,
99,10.5,
9a ,5,
A1,19.5,
DR1,49,
H1,21,
i4,4.5,
M17,6,
M92,4,
PS1,0.5,
SL1,36,
SL1a,11,
X1,43.5,
X10,23.5,
X17,31,
X19,19,
X20,14,
X30,1,
X5,32.5,
X54,11.5,
X55,2,
X74,11.5,
X78,46.5,